filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
S26-2h_ETD_015.png,11573765,"{""shape"":""hexagon""}",7,0,"{""name"":""polygon"",""all_points_x"":[2463,2514,2491,2429,2375,2388],""all_points_y"":[1317,1399,1513,1549,1479,1340]}","{""shape"":""taco"",""scalebar-length"":""""}"
S26-2h_ETD_015.png,11573765,"{""shape"":""hexagon""}",7,1,"{""name"":""rect"",""x"":2320,""y"":2088,""width"":649,""height"":5}","{""shape"":""scalebar"",""scalebar-length"":""1 um""}"
S26-2h_ETD_015.png,11573765,"{""shape"":""hexagon""}",7,2,"{""name"":""polygon"",""all_points_x"":[320,478,516,460,328,268],""all_points_y"":[284,294,390,511,503,387]}","{""shape"":undefined,""scalebar-length"":""""}"
S26-2h_ETD_015.png,11573765,"{""shape"":""hexagon""}",7,3,"{""name"":""polygon"",""all_points_x"":[1952,2088,2158,2101,1962,1890],""all_points_y"":[176,176,297,413,413,276]}","{""shape"":undefined,""scalebar-length"":""""}"
S26-2h_ETD_015.png,11573765,"{""shape"":""hexagon""}",7,4,"{""name"":""polygon"",""all_points_x"":[418,421,454,488,470,444],""all_points_y"":[1079,1123,1131,1102,1074,1064]}","{""shape"":""filled-shape"",""scalebar-length"":""""}"
S26-2h_ETD_015.png,11573765,"{""shape"":""hexagon""}",7,5,"{""name"":""polygon"",""all_points_x"":[560,571,612,643,640,620,586],""all_points_y"":[1004,1040,1048,1040,1009,984,978]}","{""shape"":""filled-shape"",""scalebar-length"":""""}"
S26-2h_ETD_015.png,11573765,"{""shape"":""hexagon""}",7,6,"{""name"":""polygon"",""all_points_x"":[1084,1146,1278,1324,1275,1151],""all_points_y"":[196,111,106,204,276,294]}","{""shape"":undefined,""scalebar-length"":""""}"
S26-2h_ETD_014.png,11628751,"{""shape"":""hexagon""}",0,0,"{}","{}"
S26-2h_ETD_013.png,11636380,"{""shape"":""hexagon""}",0,0,"{}","{}"
S26-2h_ETD_012.png,11627264,"{""shape"":""hexagon""}",18,0,"{""name"":""rect"",""x"":2459,""y"":2088,""width"":371,""height"":5}","{""shape"":""scalebar"",""scalebar-length"":""500 nm""}"
S26-2h_ETD_012.png,11627264,"{""shape"":""hexagon""}",18,1,"{""name"":""polygon"",""all_points_x"":[441,431,395,351,351,392],""all_points_y"":[196,248,263,240,212,181]}","{""shape"":""filled-shape"",""scalebar-length"":""""}"
S26-2h_ETD_012.png,11627264,"{""shape"":""hexagon""}",18,2,"{""name"":""polygon"",""all_points_x"":[310,263,346,516,563,460],""all_points_y"":[178,292,416,374,222,132]}","{""shape"":undefined,""scalebar-length"":""""}"
S26-2h_ETD_012.png,11627264,"{""shape"":""hexagon""}",18,3,"{""name"":""polygon"",""all_points_x"":[1087,1095,1138,1159,1149,1115],""all_points_y"":[374,408,421,385,351,341]}","{""shape"":""filled-shape"",""scalebar-length"":""""}"
S26-2h_ETD_012.png,11627264,"{""shape"":""hexagon""}",18,4,"{""name"":""polygon"",""all_points_x"":[953,955,1002,1035,1020,968],""all_points_y"":[261,305,325,284,256,243]}","{""shape"":""filled-shape"",""scalebar-length"":""""}"
S26-2h_ETD_012.png,11627264,"{""shape"":""hexagon""}",18,5,"{""name"":""polygon"",""all_points_x"":[960,991,1136,1249,1200,1048],""all_points_y"":[349,475,516,398,263,248]}","{""shape"":undefined,""scalebar-length"":""""}"
S26-2h_ETD_012.png,11627264,"{""shape"":""hexagon""}",18,6,"{""name"":""polygon"",""all_points_x"":[1095,1118,1064,875,870,878],""all_points_y"":[1105,1141,1169,1177,1113,1100]}","{""shape"":""taco"",""scalebar-length"":""""}"
S26-2h_ETD_012.png,11627264,"{""shape"":""hexagon""}",18,7,"{""name"":""polygon"",""all_points_x"":[955,971,1076,1177,1169,1040],""all_points_y"":[733,860,909,829,705,653]}","{""shape"":undefined,""scalebar-length"":""""}"
S26-2h_ETD_012.png,11627264,"{""shape"":""hexagon""}",18,8,"{""name"":""polygon"",""all_points_x"":[2148,2287,2308,2218,2052,2029],""all_points_y"":[325,364,483,589,534,400]}","{""shape"":undefined,""scalebar-length"":""""}"
S26-2h_ETD_012.png,11627264,"{""shape"":""hexagon""}",18,9,"{""name"":""polygon"",""all_points_x"":[2352,2396,2393,2352,2318,2334],""all_points_y"":[679,689,746,754,725,682]}","{""shape"":""filled-shape"",""scalebar-length"":""""}"
S26-2h_ETD_012.png,11627264,"{""shape"":""hexagon""}",18,10,"{""name"":""polygon"",""all_points_x"":[2122,2143,2112,2063,2057,2086],""all_points_y"":[651,689,707,694,658,632]}","{""shape"":""filled-shape"",""scalebar-length"":""""}"
S26-2h_ETD_012.png,11627264,"{""shape"":""hexagon""}",18,11,"{""name"":""polygon"",""all_points_x"":[2042,2034,2076,2109,2104,2068],""all_points_y"":[723,772,795,769,723,712]}","{""shape"":""filled-shape"",""scalebar-length"":""""}"
S26-2h_ETD_012.png,11627264,"{""shape"":""hexagon""}",18,12,"{""name"":""polygon"",""all_points_x"":[1693,1696,1639,1616,1650],""all_points_y"":[684,741,749,707,669]}","{""shape"":""filled-shape"",""scalebar-length"":""""}"
S26-2h_ETD_012.png,11627264,"{""shape"":""hexagon""}",18,13,"{""name"":""polygon"",""all_points_x"":[720,751,883,981,968,839],""all_points_y"":[818,682,630,707,847,916]}","{""shape"":undefined,""scalebar-length"":""""}"
S26-2h_ETD_012.png,11627264,"{""shape"":""hexagon""}",18,14,"{""name"":""polygon"",""all_points_x"":[2241,2279,2409,2499,2460,2339],""all_points_y"":[793,932,955,847,733,702]}","{""shape"":undefined,""scalebar-length"":""""}"
S26-2h_ETD_012.png,11627264,"{""shape"":""hexagon""}",18,15,"{""name"":""polygon"",""all_points_x"":[1474,1500,1549,1544,1523,1477],""all_points_y"":[1007,1038,1017,978,965,968]}","{""shape"":""filled-shape"",""scalebar-length"":""""}"
S26-2h_ETD_012.png,11627264,"{""shape"":""hexagon""}",18,16,"{""name"":""polygon"",""all_points_x"":[2468,2535,2553,2507,2455,2429],""all_points_y"":[1376,1430,1567,1647,1603,1425]}","{""shape"":""taco"",""scalebar-length"":""""}"
S26-2h_ETD_012.png,11627264,"{""shape"":""hexagon""}",18,17,"{""name"":""polygon"",""all_points_x"":[2285,2390,2481,2471,2370,2267],""all_points_y"":[1846,1810,1872,1990,2050,1957]}","{""shape"":undefined,""scalebar-length"":""""}"
S26-2h_ETD_011.png,11549397,"{""shape"":""hexagon""}",0,0,"{}","{}"
S26-2h_ETD_010.png,11634292,"{""shape"":""hexagon""}",0,0,"{}","{}"
S26-2h_ETD_009.png,11422538,"{""shape"":""hexagon""}",0,0,"{}","{}"
S26-2h_ETD_008.png,11622075,"{""shape"":""hexagon""}",0,0,"{}","{}"
S26-2h_ETD_007.png,11619602,"{""shape"":""hexagon""}",0,0,"{}","{}"
S26-2h_ETD_006.png,11632508,"{""shape"":""hexagon""}",0,0,"{}","{}"
S26-2h_ETD_005.png,11646173,"{""shape"":""hexagon""}",0,0,"{}","{}"
S26-2h_ETD_004.png,11631204,"{""shape"":""hexagon""}",0,0,"{}","{}"
S26-2h_ETD_003.png,11373613,"{""shape"":""hexagon""}",7,0,"{""name"":""rect"",""x"":2395,""y"":2081,""width"":500,""height"":21}","{""shape"":""scalebar"",""scalebar-length"":""1 um""}"
S26-2h_ETD_003.png,11373613,"{""shape"":""hexagon""}",7,1,"{""name"":""polygon"",""all_points_x"":[538,634,684,640,538,485],""all_points_y"":[1763,1744,1817,1921,1941,1864]}","{""shape"":undefined,""scalebar-length"":""""}"
S26-2h_ETD_003.png,11373613,"{""shape"":""hexagon""}",7,2,"{""name"":""polygon"",""all_points_x"":[732,820,889,861,768,715],""all_points_y"":[1628,1582,1650,1743,1772,1706]}","{""shape"":undefined,""scalebar-length"":""""}"
S26-2h_ETD_003.png,11373613,"{""shape"":""hexagon""}",7,3,"{""name"":""polygon"",""all_points_x"":[514,545,653,703,670,565],""all_points_y"":[1500,1599,1611,1533,1434,1428]}","{""shape"":undefined,""scalebar-length"":""""}"
S26-2h_ETD_003.png,11373613,"{""shape"":""hexagon""}",7,4,"{""name"":""polygon"",""all_points_x"":[661,653,671,703,716,685],""all_points_y"":[1696,1728,1744,1737,1709,1683]}","{""shape"":""filled-shape"",""scalebar-length"":""""}"
S26-2h_ETD_003.png,11373613,"{""shape"":""hexagon""}",7,5,"{""name"":""polygon"",""all_points_x"":[540,572,561,537,519,527],""all_points_y"":[1315,1327,1363,1368,1350,1324]}","{""shape"":""filled-shape"",""scalebar-length"":""""}"
S26-2h_ETD_003.png,11373613,"{""shape"":""hexagon""}",7,6,"{""name"":""polygon"",""all_points_x"":[2063,2128,2214,2229,2176,2082],""all_points_y"":[227,164,188,272,343,329]}","{""shape"":undefined,""scalebar-length"":""""}"
S26-2h_ETD_002.png,11474095,"{""shape"":""hexagon""}",0,0,"{}","{}"
S26-2h_ETD_001.png,11548321,"{""shape"":""hexagon"",""scalebar"":""""}",17,0,"{""name"":""rect"",""x"":2347,""y"":2070,""width"":609,""height"":17}","{""shape"":""scalebar"",""scalebar-length"":""3 um""}"
S26-2h_ETD_001.png,11548321,"{""shape"":""hexagon"",""scalebar"":""""}",17,1,"{""name"":""polygon"",""all_points_x"":[1413,1452,1465,1440,1394,1383],""all_points_y"":[103,108,146,174,166,134]}","{}"
S26-2h_ETD_001.png,11548321,"{""shape"":""hexagon"",""scalebar"":""""}",17,2,"{""name"":""polygon"",""all_points_x"":[1519,1547,1562,1544,1500,1492],""all_points_y"":[119,123,168,194,191,157]}","{""shape"":undefined,""scalebar-length"":""""}"
S26-2h_ETD_001.png,11548321,"{""shape"":""hexagon"",""scalebar"":""""}",17,3,"{""name"":""polygon"",""all_points_x"":[1500,1517,1518,1504,1494],""all_points_y"":[231,234,251,255,245]}","{""shape"":""filled-shape"",""scalebar-length"":""""}"
S26-2h_ETD_001.png,11548321,"{""shape"":""hexagon"",""scalebar"":""""}",17,4,"{""name"":""polygon"",""all_points_x"":[1433,1434,1419,1412,1416],""all_points_y"":[245,263,267,252,241]}","{""shape"":""filled-shape"",""scalebar-length"":""""}"
S26-2h_ETD_001.png,11548321,"{""shape"":""hexagon"",""scalebar"":""""}",17,5,"{""name"":""polygon"",""all_points_x"":[1356,1370,1364,1354,1346,1351],""all_points_y"":[211,218,229,235,225,215]}","{""shape"":""filled-shape"",""scalebar-length"":""""}"
S26-2h_ETD_001.png,11548321,"{""shape"":""hexagon"",""scalebar"":""""}",17,6,"{""name"":""polygon"",""all_points_x"":[1364,1362,1365,1356,1342,1341,1353],""all_points_y"":[319,317,330,338,330,320,315]}","{""shape"":""filled-shape"",""scalebar-length"":""""}"
S26-2h_ETD_001.png,11548321,"{""shape"":""hexagon"",""scalebar"":""""}",17,7,"{""name"":""polygon"",""all_points_x"":[1435,1446,1440,1431,1422,1425],""all_points_y"":[297,304,317,318,312,303]}","{""shape"":""filled-shape"",""scalebar-length"":""""}"
S26-2h_ETD_001.png,11548321,"{""shape"":""hexagon"",""scalebar"":""""}",17,8,"{""name"":""polygon"",""all_points_x"":[1531,1560,1582,1580,1552,1521],""all_points_y"":[312,300,317,352,369,350]}","{""shape"":undefined,""scalebar-length"":""""}"
S26-2h_ETD_001.png,11548321,"{""shape"":""hexagon"",""scalebar"":""""}",17,9,"{""name"":""polygon"",""all_points_x"":[1421,1432,1429,1420,1411,1410,1414],""all_points_y"":[355,362,374,376,370,363,357]}","{""shape"":""filled-shape"",""scalebar-length"":""""}"
S26-2h_ETD_001.png,11548321,"{""shape"":""hexagon"",""scalebar"":""""}",17,10,"{""name"":""polygon"",""all_points_x"":[1472,1483,1492,1494,1486,1477,1472],""all_points_y"":[410,404,409,419,427,427,417]}","{""shape"":""filled-shape"",""scalebar-length"":""""}"
S26-2h_ETD_001.png,11548321,"{""shape"":""hexagon"",""scalebar"":""""}",17,11,"{""name"":""polygon"",""all_points_x"":[1531,1539,1551,1555,1547,1540,1530],""all_points_y"":[450,444,449,459,465,465,460]}","{""shape"":""filled-shape"",""scalebar-length"":""""}"
S26-2h_ETD_001.png,11548321,"{""shape"":""hexagon"",""scalebar"":""""}",17,12,"{""name"":""polygon"",""all_points_x"":[1533,1531,1541,1553,1555,1546,1538],""all_points_y"":[410,423,427,421,412,404,405]}","{""shape"":""filled-shape"",""scalebar-length"":""""}"
S26-2h_ETD_001.png,11548321,"{""shape"":""hexagon"",""scalebar"":""""}",17,13,"{""name"":""polygon"",""all_points_x"":[1563,1572,1578,1584,1581,1571,1563,1561],""all_points_y"":[415,407,411,420,429,430,427,421]}","{""shape"":""filled-shape"",""scalebar-length"":""""}"
S26-2h_ETD_001.png,11548321,"{""shape"":""hexagon"",""scalebar"":""""}",17,14,"{""name"":""polygon"",""all_points_x"":[1326,1315,1314,1324,1333,1334],""all_points_y"":[424,429,439,448,441,430]}","{""shape"":""filled-shape"",""scalebar-length"":""""}"
S26-2h_ETD_001.png,11548321,"{""shape"":""hexagon"",""scalebar"":""""}",17,15,"{""name"":""polygon"",""all_points_x"":[1120,1084,1078,1102,1132,1145],""all_points_y"":[1104,1112,1144,1177,1171,1131]}","{""shape"":undefined,""scalebar-length"":""""}"
S26-2h_ETD_001.png,11548321,"{""shape"":""hexagon"",""scalebar"":""""}",17,16,"{""name"":""polygon"",""all_points_x"":[1657,1652,1662,1675,1679,1667],""all_points_y"":[1929,1943,1955,1949,1934,1928]}","{""shape"":""filled-shape"",""scalebar-length"":""""}"
